date,temp_max,temp_min,precipitation,windspeed
2021-01-01,2.3,-4.0,4.8,20.6
2021-01-02,3.0,-1.5,9.8,21.1
2021-01-03,2.3,-2.0,1.5,13.9
2021-01-04,1.5,-0.3,0.0,12.4
2021-01-05,1.9,-0.4,1.1,10.3
2021-01-06,1.8,0.2,0.0,16.1
2021-01-07,0.6,-2.0,0.0,15.9
2021-01-08,-1.5,-6.6,0.0,12.4
2021-01-09,2.0,-4.2,0.0,15.6
2021-01-10,1.0,-2.2,0.0,10.9
2021-01-11,5.4,-3.0,0.8,15.6
2021-01-12,0.8,-1.6,0.4,14.6
2021-01-13,5.1,-0.8,0.0,17.7
2021-01-14,4.9,0.9,0.0,13.4
2021-01-15,7.3,-0.1,1.9,20.4
2021-01-16,4.0,-0.2,4.2,22.1
2021-01-17,4.2,-0.9,0.8,28.9
2021-01-18,0.9,-1.9,3.2,14.8
2021-01-19,2.2,-2.8,2.4,22.9
2021-01-20,-2.0,-7.4,2.2,24.9
2021-01-21,3.5,-5.9,0.2,28.0
2021-01-22,0.9,-4.7,5.7,24.8
2021-01-23,-4.8,-7.3,2.1,23.7
2021-01-24,-3.9,-10.1,0.0,23.8
2021-01-25,0.8,-13.6,0.0,11.5
2021-01-26,-0.3,-5.4,8.9,22.0
2021-01-27,-0.8,-5.4,0.5,20.2
2021-01-28,-5.3,-8.6,0.5,30.4
2021-01-29,-6.8,-12.1,1.2,27.9
2021-01-30,-4.2,-12.4,0.0,18.6
2021-01-31,-5.2,-12.5,0.0,16.6
2021-02-01,-3.2,-8.9,2.0,17.3
2021-02-02,0.4,-4.7,9.9,27.8
2021-02-03,0.1,-3.0,1.5,26.2
2021-02-04,4.3,-5.7,0.0,20.5
2021-02-05,3.8,-4.0,2.8,27.7
2021-02-06,-4.2,-9.4,2.7,25.3
2021-02-07,-4.2,-11.9,0.4,21.3
2021-02-08,-4.9,-15.1,0.1,20.6
2021-02-09,-3.0,-9.4,2.6,11.3
2021-02-10,-4.2,-10.9,0.1,16.5
2021-02-11,-4.0,-9.6,1.0,14.9
2021-02-12,-7.2,-12.2,1.3,13.0
2021-02-13,-8.1,-12.6,2.5,15.8
2021-02-14,-3.2,-9.2,1.0,14.2
2021-02-15,-2.2,-10.7,2.8,13.3
2021-02-16,-1.6,-7.8,16.3,22.6
2021-02-17,-4.1,-10.9,0.1,21.2
2021-02-18,-3.3,-10.6,1.0,13.6
2021-02-19,0.2,-6.5,2.0,13.5
2021-02-20,-2.9,-5.8,3.7,17.2
2021-02-21,-0.3,-8.9,0.0,15.8
2021-02-22,3.3,-3.0,2.4,27.0
2021-02-23,4.9,-0.2,1.3,31.4
2021-02-24,12.1,-0.8,1.4,34.3
2021-02-25,1.7,-5.0,0.0,32.3
2021-02-26,4.2,-5.1,0.0,17.1
2021-02-27,10.2,-2.8,2.4,32.2
2021-02-28,8.4,-2.6,1.5,25.9
2021-03-01,7.6,-7.7,1.5,34.9
2021-03-02,-0.6,-9.9,0.1,33.7
2021-03-03,7.2,-3.2,0.0,21.7
2021-03-04,1.0,-6.1,0.0,24.6
2021-03-05,0.6,-8.3,0.7,30.6
2021-03-06,-2.2,-7.1,0.2,25.5
2021-03-07,-2.7,-6.3,0.0,14.0
2021-03-08,11.1,-6.7,0.0,13.5
2021-03-09,7.8,0.1,0.0,19.2
2021-03-10,18.6,-0.6,0.0,22.8
2021-03-11,21.2,10.4,0.8,33.4
2021-03-12,11.4,-1.3,0.4,32.1
2021-03-13,4.3,-5.4,0.0,27.8
2021-03-14,2.7,-4.4,0.6,31.3
2021-03-15,-4.0,-8.1,0.0,26.0
2021-03-16,6.5,-5.8,0.1,16.6
2021-03-17,9.6,-0.9,0.0,13.7
2021-03-18,4.2,0.6,1.9,28.3
2021-03-19,1.0,-5.2,0.0,27.9
2021-03-20,11.9,-3.0,0.0,14.2
2021-03-21,13.5,-0.3,0.0,15.8
2021-03-22,17.9,3.5,0.0,20.2
2021-03-23,17.5,5.6,0.0,20.9
2021-03-24,20.9,9.8,8.6,24.1
2021-03-25,21.0,10.9,0.0,24.4
2021-03-26,16.2,4.8,7.6,43.5
2021-03-27,11.1,2.8,0.0,14.6
2021-03-28,16.0,3.4,9.3,33.1
2021-03-29,6.0,0.3,0.2,34.6
2021-03-30,20.5,0.2,0.0,30.0
2021-03-31,15.2,4.2,5.8,31.0
2021-04-01,3.9,-1.5,3.0,24.7
2021-04-02,2.5,-4.2,0.0,24.6
2021-04-03,9.6,-3.9,0.8,14.0
2021-04-04,11.1,1.2,0.0,16.9
2021-04-05,13.2,1.6,0.0,15.7
2021-04-06,12.8,1.0,0.0,15.0
2021-04-07,14.4,5.8,0.6,15.6
2021-04-08,25.0,5.8,0.0,20.2
2021-04-09,22.0,13.2,4.8,22.5
2021-04-10,24.9,11.6,0.0,21.8
2021-04-11,16.1,12.6,18.3,17.9
2021-04-12,13.2,7.6,7.1,17.6
2021-04-13,13.8,6.8,0.5,12.3
2021-04-14,14.6,4.9,0.0,13.7
2021-04-15,7.8,3.2,6.4,16.3
2021-04-16,6.2,2.5,9.8,21.3
